Relative Path,File Name,Extension,File Size (bytes),Package,Test,Dimensions (pixels),Colour,Cardinality,Subject,Fingerprint Type,Gender,Eyes,Mouth,Background,Facing,Rotation,Same subject,Same image as,Other,,,RGB_bytes_match,RGBA_bytes_match,BW_bytes_match,bytes_match,skip_bytes_checks
\assets\common,8-68682.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,8.data,.data,"844,800",N/F,N/F,400x528,RGBA,One,Face,,Woman,Open,Smiling,White,Front,,,8-68682.data,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,8face.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceLiteAPITest.testMaxFacesTracked,400x528,RGBA,Multiple,Face,,Woman,Open,Smiling,White,Front,,,,"collage, 8 copies of the same picture",,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,9_faces.data,.data,"844,800",com.gemalto.cogent.test.facelite,FaceLiteAPITest.testExceedMaxFaceTrackedLimit,400x528,RGBA,Multiple,Face,,Woman,Open,Neutral,White,Front,,,,"collage 3x3, 9 copies of the same picture",,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,AESDBFace_test,-,"20,480",N/F,N/F,N/F,,,,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,AESFacetest,-,"20,480",com.gemalto.cogent.test.facelite,DBFace,N/F,,,,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,bigSize1500x1200.wsq,.wsq,"82,189",com.gemalto.cogent.test.image,BitmapUtilTest.testLargeWsqDecoding,1500x1200,BW,Multiple,Fingerprint Scan,,,,,,,,,,4 slap,,,,,,N/A,TRUE
\assets\common,bigSize1500x1200.wsq,.wsq,"82,189",com.gemalto.cogent.test.image,BitmapUtilTest.testGetWSQImageFormat,1500x1200,BW,Multiple,Fingerprint Scan,,,,,,,,,,4 slap,,,,,,N/A,TRUE
\assets\common,childISO.data,.data,"906,400",com.gemalto.cogent.test.facelite,FaceLiteAPITest.testQualityCheckChild,412x550,RGBA,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE
\assets\common,Clean1upEnc,-,"12,288",N/F,N/F,N/F,,,,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,closed_eyes.data,.data,"314,908",N/F,N/F,748x421,BW,One,Face,,Woman,Closed,Neutral,White,Front,,,,"mouth slightly open, cloesup, top of head missing",,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,closed_right_eye.data,.data,"640,000",N/F,N/F,800x800,BW,One,Face,,Woman,Right Closed,Smiling,Indoors,45° Right,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,corruptDBFace,-,"20,480",com.gemalto.cogent.test.facelite,DBFace,N/F,,,,,,,,,,,,,,,,,,,N/A,TRUE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,DBIris,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisAPITest.testTrackResultsSingle,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisAPITest.testTrackMinRadius,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisAPITest.testTrackActualRadius,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
\assets\common,eye1.data,.data,"307,200",com.gemalto.cogent.test.iris,IrisAPITest.testQualityCheckIris,640x480,BW,One,Left Eye,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE
