Relative Path,File Name,File Extension,File Size,Package,Test,Dimensions
common,face_22.data,.data,4194304,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testAssessFace,NF
common,face_33.data,.data,4194304,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testAssessFace,NF
common,face_db_cleanup,-,12288,com.gemalto.cogent.test.facelite,DBFace,NF
common,face_db_cleanup,-,12288,com.gemalto.cogent.test.facelite,FaceTemplateTest.testCleanUp,NF
common,Face_eyes_closed.data,.data,525576,com.gemalto.cogent.test.facelite,FaceLiteAPITest.testNotISOCompliantQualityCheckEyesClosed,366x359
common,face_test_db,-,47157248,com.gemalto.cogent.benchmarktest.facelite,FaceBenchMarkTest.setUpClass,NF
common,face_test_db,-,47157248,com.gemalto.cogent.test.facelite,FaceTemplateTest.setUpClass,NF
common,finger1.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger1.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger1.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger1.data,.data,110000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.initializeFingerAPITemplate,NF
common,finger1.data,.data,110000,com.gemalto.cogent.test.image,BitmapUtilTest.testWsqDecodingFailure,NF
common,finger1.wsq,.wsq,10536,NF,NF,NF
common,finger10.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger10.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger10.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger11.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger11.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger11.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger180.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger180.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger2.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger2.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger2.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger2.data,.data,110000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.initializeFingerAPITemplate,NF
common,finger3.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger3.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger3.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger3.data,.data,110000,com.gemalto.cogent.test.finger,FingerThreadSafetyTest.initializeFingerAPITemplate,NF
common,finger4.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger4.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger4.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger5.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger5.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
common,finger5.data,.data,110000,com.gemalto.cogent.test.finger,FingerTemplateTest.setUpClass,NF
common,finger6.data,.data,110000,com.gemalto.cogent.test.finger,DBFingerPrint,NF
common,finger6.data,.data,110000,com.gemalto.cogent.test.finger,FingerAPITest.initializeFingerAPITemplate,NF
